product type,trans_type,section,question
Auto,renewal prep,Risk Assessment,Were underwriter instructions acted on correctly?
Auto,renewal prep,Authorities,"Was the transaction within the user’s authority? If not, were appropriate approvals obtained?"
Auto,renewal prep,Service Level Agreements,"When the processor took control of the case, was it handled in an appropriate amount of time?"
Auto,renewal prep,Data Entry & Process,Were related cases with earlier effective dates escalated prior to renewal prep?
Auto,renewal prep,Data Entry & Process,Was the master drivers list updated correctly?
Auto,renewal prep,Data Entry & Process,Were the necessary MVRS ordered or entered manually?
Auto,renewal prep,Data Entry & Process,Was the underwriter advised of any driver concerns?
Auto,renewal prep,Data Entry & Process,Was the premium and loss record completed correctly?
Auto,renewal prep,Data Entry & Process,Was the renewal WIP/renewal GarageRater prepped as per underwriter instruction?
Auto,renewal prep,Data Entry & Process,Were the 43/43A endorsements updated as per provincial standards?
Auto,renewal prep,Data Entry & Process,Was the CVOR/OMVIC registration status checked?
Auto,renewal prep,Data Entry & Process,Was the underwriter notified of any open abeyances?
Auto,renewal prep,Data Entry & Process,Were any cross reference policies noted appropriately?
Auto,renewal prep,System & Statistical,Was appropriate full documentation added describing the transaction?
Auto,RENEWAL ISSUANCE,Risk Assessment,Were underwriter instructions acted on correctly?
Auto,RENEWAL ISSUANCE,Authorities,"Was the transaction within the user’s authority? If not, were appropriate approvals obtained?"
Auto,RENEWAL ISSUANCE,Service Level Agreements,"When the processor took control of the case, was it handled in an appropriate amount of time?"
Auto,RENEWAL ISSUANCE,Data Entry & Process,Were related cases with earlier effective dates escalated prior to renewal issuance?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Was the renewal issued at the correct annual premium?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Was the renewal issued on the correct payment plan?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Have all endorsements been created correctly?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Was the WIP issued correctly? Was coding in ENTR completed correctly?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Was an email sent and abeyance set for any outstanding information/documentation?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Were all policy documents uploaded correctly to SharePoint (using proper naming conventions)?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Were all appropriate policy documents and liability certificates sent to document delivery?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Were prints ordered appropriately?
Auto,RENEWAL ISSUANCE,Data Entry & Process,Was the case sent to document delivery using the correct document generation status?
Auto,RENEWAL ISSUANCE,System & Statistical,Was appropriate full documentation added describing the transaction?
Auto,POLICY CHANGE,Risk Assessment,Were broker/underwriter instructions acted on correctly?
Auto,POLICY CHANGE,Authorities,"Was the transaction within the user’s authority? If not, were appropriate approvals obtained?"
Auto,POLICY CHANGE,Service Level Agreements,"When the processor took control of the case, was it handled in an appropriate amount of time?"
Auto,POLICY CHANGE,Data Entry & Process,Were MVRS ordered or entered manually?
Auto,POLICY CHANGE,Data Entry & Process,Were appropriate driver concerns referred to the underwriter?
Auto,POLICY CHANGE,Data Entry & Process,Were any appropriate surcharges/adjustments added/removed correctly in PAS?
